secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1600.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1600.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1600.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,91,0,0,0,0,636,1600.4,0.00000000,0.00000000,0,0,21,0,48,0,0,0,0,0,0,0,0
11,121,0,0,0,0,1196,1600.4,0.00000000,0.00000000,0,0,21,0,48,0,0,0,0,0,0,0,0
12,122,0,0,0,0,1099,1600.4,0.00000000,0.00000000,0,0,21,0,47,0,0,0,0,0,0,0,0
13,119,0,0,0,0,898,1600.2,0.00000000,0.00000000,0,0,21,0,57,0,0,0,0,0,0,0,0
14,59,0,0,0,0,252,1600.2,0.00000000,0.00000000,0,0,21,0,39,0,0,0,0,0,0,0,0
15,59,0,0,0,0,0,1600,0.00000000,0.00000000,0,0,21,0,39,0,0,0,0,0,0,0,0
16,59,0,0,0,0,0,1600,0.00000000,0.00000000,0,0,21,0,39,0,0,0,0,0,0,0,0
