secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,30,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,30,1641.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
8,25,0,0,0,0,32,1642,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
9,54,0,0,0,0,665,1642,0.00000000,0.00000000,0,0,19,0,52,0,0,0,0,0,0,0,0
10,58,0,0,0,0,664,1642,0.00000000,0.00000000,0,0,19,0,50,0,0,0,0,0,0,0,0
11,59,0,0,0,0,712,1642,0.00000000,0.00000000,0,0,19,0,50,0,0,0,0,0,0,0,0
12,61,0,0,0,0,716,1642,0.00000000,0.00000000,0,0,19,0,50,0,0,0,0,0,0,0,0
13,56,0,0,0,0,652,1642,0.00000000,0.00000000,0,0,19,0,49,0,0,0,0,0,0,0,0
14,56,0,0,0,0,0,1642,0.00000000,0.00000000,0,0,19,0,49,0,0,0,0,0,0,0,0
