secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1545.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1545.8,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1546,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1546,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1546,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
12,7,0,0,0,0,28,1546.2,0.00000000,0.00000000,0,0,19,0,48,0,0,0,0,0,0,0,0
13,126,0,0,0,0,706,1546.2,0.00000000,0.00000000,0,0,19,0,62,0,0,0,0,0,0,0,0
14,168,0,0,0,0,635,1546.4,0.00000000,0.00000000,0,0,19,0,62,0,0,0,0,0,0,0,0
15,165,0,0,0,0,470,1546.4,0.00000000,0.00000000,0,0,19,0,44,0,0,0,0,0,0,0,0
16,122,0,0,0,0,144,1546.4,0.00000000,0.00000000,0,0,19,0,44,0,0,0,0,0,0,0,0
17,72,0,0,0,0,131,1546.2,0.00000000,0.00000000,0,0,19,0,53,0,0,0,0,0,0,0,0
18,72,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,44,0,0,0,0,0,0,0,0
19,72,0,0,0,0,0,1546.2,0.00000000,0.00000000,0,0,19,0,44,0,0,0,0,0,0,0,0
