secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1641.8,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
22,45,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
23,27,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
24,39,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
25,39,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
26,39,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
27,43,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
28,43,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
29,43,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,78,0,0,0,0,0,0,0,0
42,115,0,0,0,0,1142,1641.2,0.00000000,0.00000000,0,0,23,0,53,0,0,0,0,0,0,0,0
43,115,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,23,0,53,0,0,0,0,0,0,0,0
44,115,0,0,0,0,0,1641,0.00000000,0.00000000,0,0,23,0,53,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,1641,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
