secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1638.6,-105.26999568,40.01050494,0,0,19,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1638.8,-105.27000314,40.01050510,0,0,19,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1639.2,-105.27001068,40.01050301,0,0,19,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1639,-105.27001689,40.01050150,0,0,19,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1638.4,-105.27002384,40.01049974,0,0,19,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1638.6,-105.27003231,40.01049790,0,0,19,0,-255,0,0,0,0,0,0,0,0
7,0,0,0.00015,0,0,0,1638.8,-105.27003398,40.01049597,0,0,19,0,-255,0,0,0,0,0,0,0,0
8,0,0,0.00034,0,0,0,1638.8,-105.27003843,40.01049278,0,0,19,0,-255,0,0,0,0,0,0,0,0
9,0,0,0.00034,0,0,0,1638.8,-105.27004421,40.01049220,0,0,19,0,-255,0,0,0,0,0,0,0,0
10,0,0,0.00055,0,0,0,1638.8,-105.27004823,40.01048901,0,0,19,0,-255,0,0,0,0,0,0,0,0
11,0,0,0.0006,0,0,0,1638.8,-105.27005251,40.01048734,0,0,19,0,-255,0,0,0,0,0,0,0,0
12,0,0,0.0006,0,0,0,1638.8,-105.27005662,40.01048734,0,0,19,0,-255,0,0,0,0,0,0,0,0
13,0,0,0.00091,0,0,0,1638.8,-105.27005770,40.01048398,0,0,19,0,-255,0,0,0,0,0,0,0,0
14,0,0,0.00117,0,0,0,1638.8,-105.27005687,40.01048172,0,0,19,0,-255,0,0,0,0,0,0,0,0
15,0,0,0.00141,0,0,0,1638.8,-105.27005519,40.01047988,0,0,19,0,-255,0,0,0,0,0,0,0,0
16,0,0,0.0017,0,0,0,1638.8,-105.27005553,40.01047703,0,0,19,0,-255,0,0,0,0,0,0,0,0
