secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1540.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1540.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1540.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1540.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
11,53,0,0,0,0,684,1540.8,0.00000000,0.00000000,0,0,21,0,53,0,0,0,0,0,0,0,0
12,95,0,0,0,0,1077,1540.8,0.00000000,0.00000000,0,0,21,0,50,0,0,0,0,0,0,0,0
13,93,0,0,0,0,1081,1540.8,0.00000000,0.00000000,0,0,21,0,47,0,0,0,0,0,0,0,0
14,91,0,0,0,0,1047,1540.6,0.00000000,0.00000000,0,0,21,0,47,0,0,0,0,0,0,0,0
15,85,0,0,0,0,845,1540.6,0.00000000,0.00000000,0,0,21,0,52,0,0,0,0,0,0,0,0
16,85,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,52,0,0,0,0,0,0,0,0
17,85,0,0,0,0,0,1540.6,0.00000000,0.00000000,0,0,21,0,52,0,0,0,0,0,0,0,0
