secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1643.8,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1643.6,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
7,76,0,0,0,0,460,1643.6,0.00000000,0.00000000,0,0,22,0,55,0,0,0,0,0,0,0,0
8,98,0,0,0,0,687,1643.6,0.00000000,0.00000000,0,0,22,0,49,0,0,0,0,0,0,0,0
9,117,0,0,0,0,780,1643.6,0.00000000,0.00000000,0,0,22,0,49,0,0,0,0,0,0,0,0
10,124,0,0,0,0,778,1643.4,0.00000000,0.00000000,0,0,22,0,47,0,0,0,0,0,0,0,0
11,67,0,0,0,0,403,1643.4,0.00000000,0.00000000,0,0,22,0,78,0,0,0,0,0,0,0,0
12,67,0,0,0,0,370,1643.4,0.00000000,0.00000000,0,0,22,0,75,0,0,0,0,0,0,0,0
13,66,0,0,0,0,370,1643.4,0.00000000,0.00000000,0,0,22,0,53,0,0,0,0,0,0,0,0
14,66,0,0,0,0,370,1643.6,0.00000000,0.00000000,0,0,22,0,53,0,0,0,0,0,0,0,0
