secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,42,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,42,0,0,0,0,0,0,0,0
8,70,0,0,0,0,754,1633.2,0.00000000,0.00000000,0,0,21,0,42,0,0,0,0,0,0,0,0
9,80,0,0,0,0,856,1633.2,0.00000000,0.00000000,0,0,21,0,51,0,0,0,0,0,0,0,0
10,76,0,0,0,0,754,1633.2,0.00000000,0.00000000,0,0,21,0,51,0,0,0,0,0,0,0,0
11,76,0,0,0,0,0,1633.2,0.00000000,0.00000000,0,0,21,0,48,0,0,0,0,0,0,0,0
