secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1628.6,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1629,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1629,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1628.8,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1628.8,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1628.8,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
7,116,0,0,0,0,410,1628.8,0.00000000,0.00000000,0,0,22,0,50,0,0,0,0,0,0,0,0
8,121,0,0,0,0,747,1629,0.00000000,0.00000000,0,0,22,0,48,0,0,0,0,0,0,0,0
9,116,0,0,0,0,714,1628.8,0.00000000,0.00000000,0,0,22,0,52,0,0,0,0,0,0,0,0
10,115,0,0,0,0,672,1629,0.00000000,0.00000000,0,0,22,0,50,0,0,0,0,0,0,0,0
11,107,0,0,0,0,510,1629,0.00000000,0.00000000,0,0,22,0,63,0,0,0,0,0,0,0,0
12,107,0,0,0,0,0,1629,0.00000000,0.00000000,0,0,22,0,63,0,0,0,0,0,0,0,0
13,107,0,0,0,0,0,1629,0.00000000,0.00000000,0,0,22,0,63,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1629,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
