secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1605.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,114,0,0,0,0,1152,1605.8,0.00000000,0.00000000,0,0,21,0,53,0,0,0,0,0,0,0,0
11,116,0,0,0,0,1060,1605.8,0.00000000,0.00000000,0,0,21,0,52,0,0,0,0,0,0,0,0
12,109,0,0,0,0,954,1605.8,0.00000000,0.00000000,0,0,21,0,49,0,0,0,0,0,0,0,0
13,94,0,0,0,0,613,1605.6,0.00000000,0.00000000,0,0,21,0,54,0,0,0,0,0,0,0,0
14,94,0,0,0,0,0,1605.6,0.00000000,0.00000000,0,0,21,0,54,0,0,0,0,0,0,0,0
15,94,0,0,0,0,0,1605.6,0.00000000,0.00000000,0,0,21,0,54,0,0,0,0,0,0,0,0
16,94,0,0,0,0,0,1605.6,0.00000000,0.00000000,0,0,21,0,54,0,0,0,0,0,0,0,0
