secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1642.4,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1642,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1641.4,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1641,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1641.2,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
7,82,0,0,0,0,907,1641.2,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
8,90,0,0,0,0,1352,1641.2,0.00000000,0.00000000,0,0,20,0,49,0,0,0,0,0,0,0,0
9,95,0,0,0,0,1430,1641.2,0.00000000,0.00000000,0,0,20,0,46,0,0,0,0,0,0,0,0
10,82,0,0,0,0,927,1641.2,0.00000000,0.00000000,0,0,20,0,54,0,0,0,0,0,0,0,0
