secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1566.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1566.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0.5,1566.1,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,1566,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1566,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1566,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1566.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1566.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1566.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
10,2,0,0,0,0,2,1566.2,0.00000000,0.00000000,0,0,19,0,-255,0,0,0,0,0,0,0,0
11,2,0,0,0,0,311,1566.2,0.00000000,0.00000000,0,0,19,0,23,0,0,0,0,0,0,0,0
12,43,0,0,0,0,311,1566.2,0.00000000,0.00000000,0,0,19,0,23,0,0,0,0,0,0,0,0
13,51,0,0,0,0,355,1566.4,0.00000000,0.00000000,0,0,19,0,49,0,0,0,0,0,0,0,0
14,64,0,0,0,0,444,1566.4,0.00000000,0.00000000,0,0,19,0,50,0,0,0,0,0,0,0,0
15,72,0,0,0,0,441,1566.4,0.00000000,0.00000000,0,0,20,0,48,0,0,0,0,0,0,0,0
16,67,0,0,0,0,351,1566.4,0.00000000,0.00000000,0,0,20,0,48,0,0,0,0,0,0,0,0
17,67,0,0,0,0,0,1566.4,0.00000000,0.00000000,0,0,20,0,45,0,0,0,0,0,0,0,0
18,67,0,0,0,0,0,1566.4,0.00000000,0.00000000,0,0,20,0,45,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1566.4,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1566.4,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
