secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1650.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1649,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1648.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1649.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1649.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1649.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1649.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1650.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1650.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1650.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1650.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
18,53,0,0,0,0,349,1650,0.00000000,0.00000000,0,0,21,0,40,0,0,0,0,0,0,0,0
19,94,0,0,0,0,589,1650,0.00000000,0.00000000,0,0,21,0,48,0,0,0,0,0,0,0,0
20,105,0,0,0,0,640,1650,0.00000000,0.00000000,0,0,21,0,48,0,0,0,0,0,0,0,0
21,109,0,0,0,0,588,1650,0.00000000,0.00000000,0,0,21,0,51,0,0,0,0,0,0,0,0
22,103,0,0,0,0,559,1650.2,0.00000000,0.00000000,0,0,21,0,48,0,0,0,0,0,0,0,0
23,98,0,0,0,0,391,1650,0.00000000,0.00000000,0,0,21,0,59,0,0,0,0,0,0,0,0
24,98,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,59,0,0,0,0,0,0,0,0
25,98,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,59,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,1650,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
