secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
9,73,0,0,0,0,537,1528,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
10,89,0,0,0,0,610,1528,0.00000000,0.00000000,0,0,27,0,50,0,0,0,0,0,0,0,0
11,93,0,0,0,0,611,1528,0.00000000,0.00000000,0,0,27,0,45,0,0,0,0,0,0,0,0
12,92,0,0,0,0,585,1528,0.00000000,0.00000000,0,0,27,0,47,0,0,0,0,0,0,0,0
13,90,0,0,0,0,577,1528,0.00000000,0.00000000,0,0,27,0,46,0,0,0,0,0,0,0,0
14,87,0,0,0,0,544,1528,0.00000000,0.00000000,0,0,27,0,49,0,0,0,0,0,0,0,0
15,86,0,0,0,0,560,1528,0.00000000,0.00000000,0,0,27,0,43,0,0,0,0,0,0,0,0
16,86,0,0,0,0,0,1528,0.00000000,0.00000000,0,0,27,0,43,0,0,0,0,0,0,0,0
