secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1637.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1636.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1635.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1636.8,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1637.2,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1637.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1637.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1637.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,1637.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1637.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
16,73,0,0,0,0,571,1637.4,0.00000000,0.00000000,0,0,21,0,52,0,0,0,0,0,0,0,0
17,90,0,0,0,0,851,1637.4,0.00000000,0.00000000,0,0,21,0,49,0,0,0,0,0,0,0,0
18,97,0,0,0,0,809,1637.6,0.00000000,0.00000000,0,0,21,0,51,0,0,0,0,0,0,0,0
19,94,0,0,0,0,787,1637.6,0.00000000,0.00000000,0,0,21,0,51,0,0,0,0,0,0,0,0
20,94,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,51,0,0,0,0,0,0,0,0
21,94,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,57,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,1637.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
